"TIME","GEO","UNIT","AGE","SEX","PROJECTION","Value","Flag and Footnotes"
"2019","Denmark","Person","41 years","Total","Baseline projections ","71,527",""
"2019","Denmark","Person","42 years","Total","Baseline projections ","74,038",""
"2019","Denmark","Person","43 years","Total","Baseline projections ","79,718",""
"2019","Denmark","Person","44 years","Total","Baseline projections ","78,282",""
"2019","Denmark","Person","45 years","Total","Baseline projections ","78,012",""
"2019","Denmark","Person","46 years","Total","Baseline projections ","81,176",""
"2019","Denmark","Person","47 years","Total","Baseline projections ","80,005",""
"2019","Denmark","Person","48 years","Total","Baseline projections ","76,627",""
"2019","Denmark","Person","49 years","Total","Baseline projections ","76,083",""
"2019","Denmark","Person","50 years","Total","Baseline projections ","78,551",""
"2019","Denmark","Person","51 years","Total","Baseline projections ","83,602",""
"2019","Denmark","Person","52 years","Total","Baseline projections ","89,302",""
"2019","Denmark","Person","53 years","Total","Baseline projections ","86,199",""
"2019","Denmark","Person","54 years","Total","Baseline projections ","83,898",""
"2019","Denmark","Person","55 years","Total","Baseline projections ","81,806",""
"2019","Denmark","Person","56 years","Total","Baseline projections ","77,017",""
"2019","Denmark","Person","57 years","Total","Baseline projections ","74,551",""
"2019","Denmark","Person","58 years","Total","Baseline projections ","74,119",""
"2019","Denmark","Person","59 years","Total","Baseline projections ","70,592",""
"2019","Denmark","Person","60 years","Total","Baseline projections ","70,570",""
"2019","Denmark","Person","61 years","Total","Baseline projections ","69,508",""
"2019","Denmark","Person","62 years","Total","Baseline projections ","69,427",""
"2019","Denmark","Person","63 years","Total","Baseline projections ","67,983",""
